original_name,encoded_name
Nike Air Force 1 RTFKT Murakami,0.428475495
nike air jordan 1 low cut red gym,0.55858397
Nike Dunk Low Coast,0.55858397
Nike  Air Max 90 'Metallic Pack - Gold',0.55858397
Limited.. Special edition.. all new..,0.428475495
Nike Air Max,0.470901103
Nike Wmns Dunk Low Next Nature White Mint,0.564542606
Air Jordan 6 Travis Scott Medium Olive,0.428475495
AIR MAX PRE-DAY SE,0.428475495
Nike Air Jordan 1 Low x Zion Williamson OG Voodoo,0.55858397
Nike Air Max Plus White,0.428475495
BN Nike Jordan AirShip Every Game Red,0.428475495
Nike shoes,0.51945511
NK Air Jordan Legacy Low Casual shoessports shoesbasketball shoes.COD168155,0.55858397
Air Jordan 1 retro high Tokyo biohack,0.428475495
Air Jordan 4 GS Cacao Wow,0.428475495
Travis Scott x Air Jordan 1 Low Fragment,0.428475495
Air Jordan 4 - Thunder,0.428475495
Nike court vision low,0.55858397
Nike Dunk Low Reverse Panda Low Top Board Shoe Unisex,0.55858397
Nike SB Dunk Low Parra Abstract Art,0.428475495
Nike Air Max 1 '87 Premium UOO,0.428475495
Notifications,0.422691542
Obsidian Jordan 1,0.428475495
Air Jordan 1 Retro High OG,0.428475495
JORDAN 11 10.5US,0.55858397
Nike Air Max 270,0.570943531
"Air Jordan 4 Retro "" Taupe Haze",0.428475495
Nike Airforce Low 1 Cactus jack,0.564542606
Nike blazer mid 77 vntg game royal,0.55858397
AirJordan 1 Retro OG DiharamkanCP,0.428475495
Jordan 1 Low White Wolf Grey,0.55858397
Nike Dunk Low Fossil Rose,0.428475495
authentic nike shoes,0.55858397
Nike Dunk Low Indigo Haze US8W,0.428475495
Authentic Nike Dunk Low Light Smoke Grey,0.493617074
NIKE DUNK LOW SE BLACK MULTICAMO DH0957001,0.55858397
 Authentic Air Jordan 11 Retro GS,0.428475495
Flash 3.0 High Quality Basketball Shoes,0.428475495
Air Jordan 4 Infrared,0.493617074
Brand New Paris Saint Germain X Jordan 2021 Home Jersey,0.55858397
AIR JORDAN 1 MID SE,0.428475495
NK Air Jordan Legacy Low Casual shoessports shoesbasketball shoes.COD168157,0.55858397
JualSaja NIKE AIR MAX 1 KASINA,0.55858397
Nike Dunk Low Cacao Wow US10W,0.428475495
AIR JORDAN SHOES MID,0.548646525
WTS Jordan,0.428475495
Nike Court Borough Low 2,0.55858397
WTS HARDLY USED JORDAN 3 RETRO MOCHA MID,0.428475495
Air jordan 1 shadow,0.493617074
Kasut Nike Air Max 97 Winter Utility Triple Black,0.55858397
Nike Air Jordan 1 Satin W,0.428475495
Wmns Air Jordan 1 Low White Wolf Grey,0.564542606
authentic nike running shoes,0.55858397
Nike Dunk Low grey,0.55858397
WTS Brand New Nike Panda High,0.564542606
Jordan 4 Bred Reimagined,0.428475495
Travis Scott x Nike Air Jordan 1 Low OG SPCactus JackAJ1,0.564542606
Nike Air Monarch IV,0.428475495
Nike Dunk Low Goldenrod EU42US8.5,0.55858397
Nike Air Max 270,0.570943531
NK Air Jordan Legacy 312 Low sports shoes basketball shoes. COD 168164,0.55858397
NIKE AIR JORDAN HIGH CUT YELLOW BLACK,0.428475495
sb dunk court pupple,0.428475495
[US10] Air Jordan 38,0.428475495
Travis Scott x Jordan Air Jordan 1 High OG Ts Sp Overhead,0.428475495
Fragment x Travis Scott x Air Jordan 1 Low,0.55858397
Nike dunk low,0.55858397
"Air Jordan XI High ""Gratitude""",0.428475495
Nike Wmns Air Force 1 SP Liquid Metal  Gold,0.55858397
Air Jordan 1 Mid Bred Toe,0.493617074
Nike dunk low women next nature hemp,0.55858397
Nike Air Max,0.470901103
LEBRON WITNESS VI,0.428475495
Jordan AJ1,0.564542606
Nike Dunk High Black White,0.493617074
Jordan jersey m size,0.55858397
Nike Dunk Low Archeo Pink,0.55858397
Womens nike rubber shoes,0.55858397
Buttercup sb,0.428475495
Nike Air Max 90,0.467966688
NIKE AIR MAX,0.428475495
WTS: Nike Dunk Low Pale Ivory Redwood,0.428475495
JORDAN 1 LOW X Fragment X Cactus Jack,0.428475495
AIR JORDON,0.428475495
Air Jordan 4 Retro SE SE University Blue,0.55858397
Air Jordan 4,0.564542606
WTS Jordan 13 He Got Game UK 9.5,0.428475495
Premium shoes,0.428475495
Nike Dunk Low Venice US10W,0.428475495
Kobe 4 de Mar derozn,0.428475495
WTS NIKE AND ADIDAS,0.55858397
Nike Air Jordan 1 Low x Travis Scott x Fragment UK6.5,0.428475495
Nike Dunk Low Rose Whisper,0.55858397
Air Jordan 12 reverse flu game,0.428475495
Nike Dunk  Low SE  negotiable,0.428475495
Nike Zoom Kobe,0.564542606
Nike Wmns Dunk Low Barley Paisley,0.55858397
Air Jordan 4 Retro Taupe Haze,0.422691542
WTB NIKE DUNK LOW NEXT NATURE WHITE LIGHT OREWOOD BROWN W US7,0.428475495
NK Zoom Pegasus 40 moon landing Pegasus 40th generation ultra-light mesh breatha,0.428475495
Air Jordan 1 Retro High OG Black White,0.55858397
Authentic Air Jordan 11 Retro GS,0.55858397
US10 Air Jordan 38,0.55858397
NIKE ZOOM KD11 EPFREE SHIPPINGWITH BOX,0.55858397
Nike blazer X offwhite,0.55858397
Nike dunk High Laser Blue,0.493617074
MCM x Puma,0.428475495
Air Jordan low,0.428475495
Nike Wmns Dunk Low Archeo Pink,0.564542606
WTS BNDS,0.428475495
Jordan 4 2012 Fire Red,0.428475495
Air Jordan 1 High UNC Toe,0.55858397
Air Jordan 1 Mid Bred Toe,0.493617074
Special Edition KIDS NIKE AIR FORCE 1 LOW LV8 GS Black/ Chile/ Racer Blue ,0.428475495
Jordan 11 Retro UNC fiton ,0.55858397
AIR JORDAN Bagpack Mint Condition,0.428475495
WTS bred reimagined air Jordan 4 size 12 & 13,0.428475495
Nike SB Dunk Low x Yuto Horigome,0.55858397
Nike Air Max,0.470901103
Nike Nike unisex adult Jordan Air 4 retro,0.428475495
Nike sb dunk low april skateboard,0.55858397
Nike SB Dunk X Yuto Horigome,0.55858397
Adidas US9.5 collection,0.428475495
Shoes Nike Dunk LowBrand New,0.428475495
Nike Air Max Plus,0.493617074
Nike Air Max,0.470901103
Jordan 1 University Blue,0.428475495
AIR JORDAN SHOES MID,0.548646525
Jordan 1 Low OG Ghost Green,0.55858397
Nike Air Max 90 GTX,0.55858397
Air Jordan 4 Infrared,0.493617074
Nike dunk low clot cork,0.55858397
Nike Air Max SC MEN'S SHOES GREY,0.55858397
Jordan 4 Retro - Bred Reimagined,0.428475495
Air Jordan 1 Low Vintage Grey,0.55858397
Nike Dunk Low Valerian Blue,0.535806837
Air Jordan 1 Rookie Of The Year ROTY,0.428475495
VNDS Jordan 4 Fire Red 2020,0.428475495
Nike Air Jordan 1 Low x Travis Scott x Fragment,0.55858397
Travis Scott x Nike Air Jordan 1 Low OG SPCactus AJ1,0.55858397
Nike SB Dunk Low Pro Premium,0.55858397
Lebron 17,0.428475495
Nike Jordan 1 Retro Low OG SP Travis Scott Black Phantom,0.55858397
Nike Dunk Low,0.493617074
Nike Air Max,0.470901103
WTS DUNKS,0.428475495
Nike Air Max Plus Triple Black,0.422691542
Nike Wmns Dunk Low Blue Paisley,0.564542606
Nike Dunk Low USC Gym Red,0.493617074
Nike Renew Elevate 2 Basketball,0.55858397
Nike Air Max Futura Women,0.55858397
Fear of god strapless skate mid,0.428475495
Jordan 38 Fundamentals,0.428475495
Nike sb dunk high pro prm,0.55858397
Nike Dunk Low Grey Fog,0.55858397
Jordan 1 Low OG Black Toe,0.428475495
Air jordan 1 low G,0.55858397
NK Air Jordan Legacy Low Casual shoessports shoesbasketball shoes.COD168154,0.55858397
Nk Dunk Low Panda Prank-Street Graffiti Line Graffiti Old Style22,0.428475495
Nike Jordan 1 low Bred Tow,0.55858397
"Jordan Air Jordan 1 OG Tinggi ""Palomino""",0.428475495
Jordan 4 Retro Bred Reimagined,0.55858397
WTS Brand New Nike Panda High,0.564542606
Nike Air Max,0.470901103
Jordan 11 Retro Cap and Gown,0.55858397
Nike Air Max 1 x Travis Scott Cactus Jack Wheat Lemon Drop,0.428475495
Nike Air Force 1 Lilac Blue AF1,0.55858397
Air Jordan 1 High Mocha,0.55858397
Nike,0.45181603
Air Jordan 4 Pure Money AJ4 ,0.422691542
Jordan 1 Low SE New Emerald US 8.5,0.493617074
Nike Air Max 90,0.467966688
Air Jordan 4 Retro Craft,0.422691542
Nike Air Max White ,0.55858397
"NIKE DUNK LOW SE ""HANGUL DAY""",0.428475495
WTS Jordans and Dunks,0.428475495
Nike Wmns Dunk Low Light Iron Ore,0.55858397
Nike dunk low womens,0.55858397
WTS Air Jordan 1 High Satin Black Toe,0.428475495
Nike KD16 'Black Purple',0.428475495
Air Jordan 1 low bread toe,0.428475495
Nike high dunk 1985,0.55858397
Nike Dunk Low,0.493617074
Nike dunk low whisper,0.428475495
Nike Dunk Low Special Colors,0.55858397
Nike Dunks Low RTFKTClonex Edition,0.428475495
"Vintage printed shoes, Act on one's ownproduction",0.428475495
JUMPMAN TWO TREY,0.428475495
Nike,0.45181603
Travis Scott x Nike Air Jordan 1 Low OG SPCactus JackAJ1,0.564542606
nike dunk low panda,0.564542606
J1 LOW MID 10.5 US -  LEGIT - AUNTHENTIC,0.428475495
Nike dunk low panda,0.55858397
Wmns Air Jordan 1 Low Ice Blue,0.564542606
New Nike dunk low lottery SEspecial editiongray fog,0.55858397
Air Jordan 1 Low French Blue,0.55858397
Air Jordan 1 Retro Tinggi OG Phantom AJ1,0.428475495
Nike SB Dunk High TV Signal,0.55858397
Nike Air Jordan 1 High Retro Volt University Gold,0.55858397
Dunk low disrupt 2 pink oxford,0.428475495
"OFF-WHITE X Jordan Air Jordan 1 RetroHighOG ""UNC""",0.428475495
Nike Dunk Low Premium Medium Curry,0.55858397
NK Air Max 97 Olive Green,0.428475495
Nike e series AD for women,0.55858397
Nike SB x Tigerbooth Dunk Low Pro,0.55858397
"WTS VNDS Jordan 1s, 3s, 4s",0.428475495
Jordan Series ES,0.55858397
Nike Air Max Terrascape Plus Black Anthracite,0.428475495
Nike Air Max 95 Essential White,0.428475495
Nike dunk high premium EMB Lakers,0.428475495
Jordan 1 stage haze,0.428475495
Nike Airforce Low 1 Cactus jack,0.564542606
Jordan 4 military black,0.55858397
WTS Steals,0.428475495
Grade School Air Jordan 1 Retro High OG 'Hyper Royal' [hidden information],0.428475495
WTS US8.5 TS JORDAN 1 HIGH MOCHA,0.428475495
Air Jordan 4 Lightning,0.55858397
Selling Lost and Found Air Jordan 1 High,0.428475495
Nike Air Max,0.470901103
Nike Kyrie 6 Preheat Beijing UK8.5,0.428475495
Clot Nike Air Max Cha,0.564542606
"Nike Air Jordan 1 Low KO ""Sail Leather",0.428475495
NIKE Travis Scott x Air Jordan 1 Low White and blue,0.55858397
AIR JORDAN 1 MID 6.5UK,0.55858397
WTS UNION AJ1 BLACK TOE,0.428475495
Authentic Nike Air Jordon 3 Retro,0.55858397
AIR JORDAN 1 RETRO HIGH OG GS,0.428475495
BNDS US9.5 Nike Clot AF1 & Civilist Berlin Dunk Thermography,0.428475495
BN Nike shoe to sell,0.55858397
Nike Air Max and Dunk Low,0.55858397
Nike Air Max OG True Blue,0.428475495
Air jordan 1 Court Purple 2.0 Highs,0.428475495
"Air Jordan 1 OG ""Storm Blue""",0.428475495
Hoodie Jordan Jumpman,0.428475495
Air Jordan 1 Low,0.428475495
Nike Dunk Low Retro WhiteBlack,0.55858397
Selling Air Jordan Retro 4,0.428475495
Winter hot Dunk blue raw rubber versatile casual shoes low-top skateboard shoes,0.428475495
WTS Jordan 1 High UNC toe,0.428475495
Nike Air Max,0.470901103
Nike Air Force 1,0.55858397
Nike Air Max 90 G NRG,0.55858397
Nike Off White Dunk Low Lot 50 US 10,0.55858397
Nike Air Jordan,0.428475495
Jordan shoes,0.428475495
WTS AIR JORDAN 1 LOW BRED TOE,0.55858397
NIKE air jordan 1,0.428475495
Nike AF1 high brown,0.55858397
UNC JORDAN 1 LOW,0.428475495
Solefly x Air Jordan 8 retro,0.428475495
Airjordan 1 Mid for sale,0.428475495
Nike SB Dunk Low City Of Love Burgundy Crush,0.428475495
JORDAN AIR 6 RETRO,0.428475495
WTS STEALS,0.55858397
Nike Air Pegasus '89,0.493617074
AIR JORDAN 1 RETRO HIGH OG 'ALL STAR - CHAMELEON,0.428475495
Nike Zoom Kobe,0.564542606
Jordan 1 Low SB Midnight Navy,0.428475495
Jordan 1 Low SE New Emerald US 8.5,0.493617074
WTS SNEAKERs CLEARANCE,0.55858397
Nike Air Max,0.470901103
Jordan 1 bred patent,0.428475495
Nike uptempo.,0.428475495
Jordan Womens 8.5,0.55858397
Authentic Air Jordan 1 Mid,0.55858397
Authentic Nike Dunk Low Light Smoke Grey,0.493617074
Jordan 4 Retro Frozen Moments,0.55858397
Paris Saint Germain X Jordan 2023 Third Jersey,0.55858397
WTS Travis Jordan 1 golf and LNF,0.493617074
Air jordan retro 11 cool grey,0.428475495
UK 8 Nike Dunk Low Retro PRM Chicago Split,0.55858397
Air Jordan 4 White Oreo,0.55858397
Air jordan 1 University Blue,0.55858397
Nike Air Jordan 1 Retro Low Og,0.55858397
Nike SB Zoom Blazer Mid,0.55858397
Air Jordan Legacy 312  High ,0.55858397
UK5 Authentic Nike Dunk Low Women,0.55858397
Air Jordan 1 Switch Light Smoke Grey Smoke Gray Zipper High Cultural Basketball Sneak,0.55858397
Nike Air Max ,0.55858397
Air Jordan 1 Retro Low OG UNC,0.55858397
Jordan 4 union,0.428475495
Air Jordan 11 Retro Low,0.428475495
Shoes Nike air original,0.428475495
Nike Wmns Dunk Low Orange Paisley,0.55858397
Air Jordan 1 Dark Mocha HighAir Jordan 1 mid,0.55858397
Nike SB Dunk Low Pro ISO Court Purple,0.55858397
Nike Wmns Dunk Low Rose Whisper,0.55858397
Air Jordan 1 Low Inside Out,0.55858397
Jordan and dunk - Xmas sale,0.428475495
"WTS Multiple US 7.5-8.5 shoes - Air Jordan, Salomon, Travis Scott, New Balance, Yeezy, Off white etc",0.428475495
Nike SB Dunk Low Fog,0.428475495
Nike Dunk Low Chicago NBA,0.55858397
WTS yeezy jordan lebron,0.55858397
Nike Air Max Plus Triple Black,0.422691542
Nike Dunk Low Valerian Blue,0.535806837
WTS Jordan 4 PSG US 10.5  UK 9.5,0.55858397
AIR JORDAN SHOES MID,0.548646525
Panda Dunks,0.428475495
Air Jordan 1 Union LA Black Toe,0.428475495
